Date;Time;Temperature_C;Dew_Point_C;Humidity_%;Wind;Speed_kmh;Gust_kmh;Pressure_hPa;Precip_Rate_mm;Precip_Accum_mm;UV;Solar_w/m2
05/01/2020;12:00 AM;24.22;18.89;71.0;East;0.0;0.0;1013.55;0.0;0.0;NA;2.0
05/01/2020;12:15 AM;23.83;18.33;72.0;East;0.0;0.0;1013.55;0.0;0.0;NA;2.0
05/01/2020;12:30 AM;23.67;18.33;73.0;East;0.0;0.0;1013.55;0.0;0.0;NA;2.0
05/01/2020;12:45 AM;23.67;18.33;73.0;East;0.0;0.0;1013.55;0.0;0.0;NA;2.0
05/01/2020;01:00 AM;23.61;18.33;73.0;East;0.0;0.0;1013.88;0.0;0.0;NA;2.0
05/01/2020;01:15 AM;23.5;18.89;74.0;East;0.0;0.0;1013.88;0.0;0.0;NA;2.0
05/01/2020;01:30 AM;23.67;18.33;73.0;East;0.0;0.0;1013.88;0.0;0.0;NA;2.0
05/01/2020;01:45 AM;23.28;18.33;74.0;East;0.0;0.0;1013.55;0.0;0.0;NA;2.0
05/01/2020;02:00 AM;22.89;18.33;75.0;East;0.0;0.0;1013.88;0.0;0.0;NA;2.0
05/01/2020;02:15 AM;22.94;18.33;75.0;East;0.0;0.0;1013.88;0.0;0.0;NA;2.0
05/01/2020;02:30 AM;23.39;18.89;75.0;East;0.0;0.0;1013.88;0.0;0.0;NA;2.0
05/01/2020;02:45 AM;23.61;18.89;74.0;East;0.0;0.0;1013.88;0.0;0.0;NA;2.0
05/01/2020;03:00 AM;24.0;18.89;73.0;East;0.0;0.0;1013.88;0.0;0.0;NA;2.0
05/01/2020;03:15 AM;24.33;18.89;72.0;West;0.0;1.61;1014.22;0.0;0.0;NA;2.0
05/01/2020;03:30 AM;24.56;18.89;71.0;West;0.0;0.0;1014.22;0.0;0.0;NA;2.0
05/01/2020;03:45 AM;24.5;18.89;71.0;West;0.0;0.0;1014.22;0.0;0.0;NA;2.0
05/01/2020;04:00 AM;24.33;18.89;72.0;West;0.0;0.0;1014.22;0.0;0.0;NA;2.0
05/01/2020;04:15 AM;24.33;18.89;72.0;West;0.0;0.0;1013.88;0.0;0.0;NA;2.0
05/01/2020;04:30 AM;24.06;18.89;73.0;West;0.0;0.0;1014.22;0.0;0.0;NA;2.0
05/01/2020;04:45 AM;23.56;18.89;75.0;WNW;0.0;0.0;1014.22;0.0;0.0;NA;2.0
05/01/2020;05:00 AM;22.89;18.89;77.0;WNW;0.0;0.0;1014.22;0.0;0.0;NA;2.0
05/01/2020;05:15 AM;22.5;18.33;78.0;WNW;0.0;0.0;1013.88;0.0;0.0;NA;2.0
05/01/2020;05:30 AM;22.39;18.89;80.0;SE;0.0;0.0;1013.88;0.0;0.0;NA;2.0
05/01/2020;05:45 AM;22.22;18.89;82.0;SE;0.0;0.0;1013.88;0.0;0.0;NA;2.0
05/01/2020;06:00 AM;21.94;18.89;83.0;SE;0.0;0.0;1013.55;0.0;0.0;NA;2.0
05/01/2020;06:15 AM;21.44;18.89;85.0;SSW;0.0;0.0;1013.88;0.0;0.0;NA;2.0
05/01/2020;06:30 AM;21.33;18.89;86.0;West;0.0;0.0;1014.22;0.0;0.0;NA;2.0
05/01/2020;06:45 AM;21.06;18.89;87.0;West;0.0;0.0;1014.22;0.0;0.0;NA;2.0
05/01/2020;07:00 AM;20.89;18.89;87.0;West;0.0;0.0;1014.56;0.0;0.0;NA;2.0
05/01/2020;07:15 AM;20.61;18.89;88.0;West;0.0;0.0;1014.56;0.0;0.0;NA;2.0
05/01/2020;07:30 AM;20.94;19.44;92.0;WSW;0.0;3.22;1015.24;0.0;0.0;NA;2.0
05/01/2020;07:45 AM;21.44;20.0;92.0;WSW;0.0;1.61;1015.58;0.0;0.0;NA;2.0
05/01/2020;08:00 AM;21.83;20.56;92.0;West;14.48;14.48;1016.26;0.0;0.0;NA;2.0
05/01/2020;08:15 AM;22.67;21.11;91.0;WSW;11.26;12.87;1016.26;0.0;0.0;NA;2.0
05/01/2020;08:30 AM;23.28;21.67;89.0;West;3.22;12.87;1016.59;0.0;0.0;NA;2.0
05/01/2020;08:45 AM;23.56;21.67;88.0;NW;3.22;12.87;1016.59;0.0;0.0;NA;2.0
05/01/2020;09:00 AM;24.17;21.67;86.0;NW;4.83;9.65;1016.59;0.0;0.0;NA;2.0
05/01/2020;09:15 AM;24.56;21.67;84.0;West;8.04;12.87;1016.93;0.0;0.0;NA;2.0
05/01/2020;09:30 AM;24.89;21.67;82.0;West;4.83;12.87;1017.27;0.0;0.0;NA;2.0
05/01/2020;09:45 AM;25.33;21.67;80.0;West;4.83;12.87;1017.27;0.0;0.0;NA;2.0
05/01/2020;10:00 AM;25.83;21.67;78.0;SW;8.04;12.87;1017.27;0.0;0.0;NA;2.0
05/01/2020;10:15 AM;26.33;21.67;75.0;West;4.83;16.09;1017.61;0.0;0.0;NA;2.0
05/01/2020;10:30 AM;26.67;21.67;74.0;WNW;4.83;12.87;1017.61;0.0;0.0;NA;2.0
05/01/2020;10:45 AM;27.06;21.67;72.0;WSW;6.44;12.87;1017.61;0.0;0.0;NA;2.0
05/01/2020;11:00 AM;27.83;21.67;69.0;NNW;4.83;12.87;1017.61;0.0;0.0;NA;2.0
05/01/2020;11:15 AM;28.44;21.67;66.0;West;6.44;9.65;1017.61;0.0;0.0;NA;2.0
05/01/2020;11:30 AM;29.17;21.67;64.0;WNW;8.04;11.26;1017.27;0.0;0.0;NA;2.0
